mc	mn	timesig	onset	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	3/4	0	2	1	1/16	1/16	1		1	55		5
1	1	3/4	0	1	1	1/2	1/2	1		5	71		0
1	1	3/4	1/16	2	1	1/16	1/16	1		2	62		6
1	1	3/4	1/8	2	1	1/16	1/16	1		5	59		7
1	1	3/4	3/16	2	1	1/16	1/16	1		2	62		8
1	1	3/4	1/4	2	1	1/16	1/16	1		1	55		9
1	1	3/4	5/16	2	1	1/16	1/16	1		2	62		10
1	1	3/4	3/8	2	1	1/16	1/16	1		5	59		11
1	1	3/4	7/16	2	1	1/16	1/16	1		2	62		12
1	1	3/4	1/2	2	1	1/16	1/16	1		3	57		13
1	1	3/4	1/2	1	1	1/16	1/16	1		2	74		1
1	1	3/4	9/16	2	1	1/16	1/16	1		2	62		14
1	1	3/4	9/16	1	1	1/16	1/16	1		0	72		2
1	1	3/4	5/8	2	1	1/16	1/16	1		0	60		15
1	1	3/4	5/8	1	1	1/16	1/16	1		5	71		3
1	1	3/4	11/16	2	1	1/16	1/16	1		2	62		16
1	1	3/4	11/16	1	1	1/16	1/16	1		0	72		4
2	2	3/4	0	2	1	1/16	1/16	1		1	55		20
2	2	3/4	0	1	1	3/16	1/8	3/2		2	74		17
2	2	3/4	1/16	2	1	1/16	1/16	1		2	62		21
2	2	3/4	1/8	2	1	1/16	1/16	1		5	59		22
2	2	3/4	3/16	2	1	1/16	1/16	1		2	62		23
2	2	3/4	3/16	1	1	1/16	1/16	1		5	71		18
2	2	3/4	1/4	2	1	1/16	1/16	1		1	55		24
2	2	3/4	1/4	1	1	1/4	1/4	1		1	67		19
2	2	3/4	5/16	2	1	1/16	1/16	1		2	62		25
2	2	3/4	3/8	2	1	1/16	1/16	1		5	59		26
2	2	3/4	7/16	2	1	1/16	1/16	1		2	62		27
2	2	3/4	1/2	2	1	1/16	1/16	1		1	55		28
2	2	3/4	9/16	2	1	1/16	1/16	1		2	62		29
2	2	3/4	5/8	2	1	1/16	1/16	1		5	59		30
2	2	3/4	11/16	2	1	1/16	1/16	1		2	62		31
3	3	3/4	0	2	1	1/16	1/16	1		1	55		39
3	3	3/4	0	1	1	3/8	1/4	3/2		1	79		32
3	3	3/4	1/16	2	1	1/16	1/16	1		4	64		40
3	3	3/4	1/8	2	1	1/16	1/16	1		0	60		41
3	3	3/4	3/16	2	1	1/16	1/16	1		4	64		42
3	3	3/4	1/4	2	1	1/16	1/16	1		1	55		43
3	3	3/4	5/16	2	1	1/16	1/16	1		4	64		44
3	3	3/4	3/8	2	1	1/16	1/16	1		0	60		45
3	3	3/4	3/8	1	1	1/16	1/16	1		3	81		33
3	3	3/4	7/16	2	1	1/16	1/16	1		4	64		46
3	3	3/4	7/16	1	1	1/16	1/16	1		1	79		34
3	3	3/4	1/2	2	1	1/16	1/16	1		1	55		47
3	3	3/4	1/2	1	1	1/16	1/16	1		6	78		35
