mc	mn	timesig	onset	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	4/4	0	2	1	1/16		1/16	1		-3	51		8
1	1	4/4	0	1	1	1/4		1/4	1		-2	70		0
1	1	4/4	1/16	2	1	1/16		1/16	1		1	55		9
1	1	4/4	1/8	2	1	1/16		1/16	1		-2	58		10
1	1	4/4	3/16	2	1	1/16		1/16	1		1	55		11
1	1	4/4	1/4	2	1	1/16		1/16	1		-3	51		12
1	1	4/4	1/4	1	1	1/8		1/8	1		1	67		1
1	1	4/4	5/16	2	1	1/16		1/16	1		1	55		13
1	1	4/4	3/8	2	1	1/16		1/16	1		-2	58		14
1	1	4/4	3/8	1	1	1/8		1/8	1		1	67		2
1	1	4/4	7/16	2	1	1/16		1/16	1		1	55		15
1	1	4/4	1/2	2	1	1/16		1/16	1		-2	46		16
1	1	4/4	1/2	1	2	1/4		1/4	1		-3	63		6
1	1	4/4	1/2	1	1	7/32		1/8	7/4		1	67		3
1	1	4/4	9/16	2	1	1/16		1/16	1		-3	51		17
1	1	4/4	5/8	2	1	1/16		1/16	1		1	55		18
1	1	4/4	11/16	2	1	1/16		1/16	1		-3	51		19
1	1	4/4	23/32	1	1	1/32		1/32	1		-4	68		4
1	1	4/4	3/4	2	1	1/16		1/16	1		-2	46		20
1	1	4/4	3/4	1	2	1/8		1/8	1		2	62		7
1	1	4/4	3/4	1	1	1/8		1/8	1		-1	65		5
1	1	4/4	13/16	2	1	1/16		1/16	1		2	50		21
1	1	4/4	7/8	2	1	1/16		1/16	1		-1	53		22
1	1	4/4	15/16	2	1	1/16		1/16	1		2	50		23
2	2	4/4	0	2	1	1/4		1/4	1		-3	51		44
2	2	4/4	0	1	2	1/16		1/16	1		1	55		35
2	2	4/4	0	1	1	1/4		1/4	1		-3	63		24
2	2	4/4	1/16	1	2	1/16		1/16	1		-2	58		36
2	2	4/4	1/8	1	2	1/16		1/16	1		1	55		37
2	2	4/4	3/16	1	2	1/16		1/16	1		-2	58		38
2	2	4/4	1/4	2	1	1/4		1/4	1		-2	46		45
2	2	4/4	1/4	1	2	1/16		1/16	1		2	62		39
2	2	4/4	1/4	1	1	1/4		1/4	1		-1	65		25
2	2	4/4	5/16	1	2	1/16		1/16	1		-2	58		40
2	2	4/4	3/8	1	2	1/16		1/16	1		2	62		41
2	2	4/4	7/16	1	2	1/16		1/16	1		-2	58		42
2	2	4/4	1/2	2	1	1/4		1/4	1		-3	39		46
2	2	4/4	1/2	1	2	1/8		1/8	1		-3	63		43
2	2	4/4	1/2	1	1	3/32		1/16	3/2		1	67		26
2	2	4/4	19/32	1	1	1/32		1/32	1		-4	68		27
2	2	4/4	5/8	1	1	1/32		1/32	1		-2	70		28
2	2	4/4	21/32	1	1	1/32		1/32	1		0	72		29
2	2	4/4	11/16	1	1	1/32		1/32	1		2	74		30
2	2	4/4	23/32	1	1	1/32		1/32	1		-3	75		31
2	2	4/4	3/4	1	1	1/16		1/16	1		-2	70		32
2	2	4/4	7/8	1	1	1/16		1/16	1		-3	75		33
2	2	4/4	7/8	1	1	1/16		1/16	1		1	79		33
2	2	4/4	15/16	1	1	1/16		1/16	1		2	74		34
2	2	4/4	15/16	1	1	1/16		1/16	1		-1	77		34
3	3	4/4	0	1	1	1/16		1/16	1		0	72		47
3	3	4/4	0	1	1	1/16		1/16	1		-3	75		47
3	3	4/4	1/16	1	1	1/16		1/16	1		-2	70		48
3	3	4/4	1/16	1	1	1/16		1/16	1		2	74		48
3	3	4/4	1/8	2	1	1/16		1/16	1		2	50		62
3	3	4/4	1/8	1	1	1/16		1/16	1		-4	68		49
3	3	4/4	1/8	1	1	1/16		1/16	1		0	72		49
3	3	4/4	3/16	2	1	1/16		1/16	1		-3	51		63
3	3	4/4	3/16	1	1	1/16		1/16	1		1	67		50
3	3	4/4	3/16	1	1	1/16		1/16	1		-2	70		50
3	3	4/4	1/4	2	1	1/16		1/16	1		-1	53		64
3	3	4/4	1/4	1	1	1/16		1/16	1		-1	65		51
3	3	4/4	1/4	1	1	1/16		1/16	1		-4	68		51
3	3	4/4	5/16	2	1	1/16		1/16	1		1	55		65
3	3	4/4	5/16	1	1	1/16		1/16	1		-3	63		52
3	3	4/4	5/16	1	1	1/16		1/16	1		1	67		52
3	3	4/4	3/8	2	1	1/16		1/16	1		-4	56		66
3	3	4/4	3/8	1	1	1/16		1/16	1		0	60		53
3	3	4/4	3/8	1	1	1/16		1/16	1		0	72		53
3	3	4/4	7/16	2	1	1/16		1/16	1		-1	53		67
3	3	4/4	7/16	1	1	1/16		1/16	1		-1	65		54
3	3	4/4	7/16	1	1	1/16		1/16	1		-4	68		54
3	3	4/4	1/2	2	1	1/16		1/16	1		3	57		68
3	3	4/4	1/2	1	2	1/4		1/4	1		-3	63		60
3	3	4/4	1/2	1	1	1/4		1/4	1		1	67		55
3	3	4/4	9/16	2	1	1/16		1/16	1		-2	58		69
3	3	4/4	5/8	2	1	1/16		1/16	1		1	55		70
3	3	4/4	11/16	2	1	1/16		1/16	1		-3	51		71
3	3	4/4	3/4	2	1	1/8		1/8	1		-2	46		72
3	3	4/4	3/4	1	2	1/8		1/8	1		2	62		61
3	3	4/4	3/4	1	1	1/16		1/16	1		-1	65		56
3	3	4/4	13/16	1	1	1/16		1/16	1		1	67		57
3	3	4/4	7/8	1	1	1/16		1/16	1		-4	68		58
3	3	4/4	15/16	1	1	1/16		1/16	1		3	69		59
4	4	4/4	0	2	1	1/16		1/16	1		-3	51		90
4	4	4/4	0	1	1	1/8		1/8	1	1	-2	70		73
4	4	4/4	1/16	2	1	1/16		1/16	1		1	55		91
4	4	4/4	1/8	2	1	1/16		1/16	1		-2	58		92
4	4	4/4	1/8	1	1	1/32		1/32	1	-1	-2	70		74
4	4	4/4	5/32	1	1	1/32		1/32	1		2	74		75
4	4	4/4	3/16	2	1	1/16		1/16	1		1	55		93
4	4	4/4	3/16	1	1	1/32		1/32	1		-3	75		76
4	4	4/4	7/32	1	1	1/32		1/32	1		-2	70		77
4	4	4/4	1/4	2	1	1/16		1/16	1		-3	51		94
4	4	4/4	1/4	1	1	1/16		1/16	1		1	67		78
