mc	mn	timesig	onset	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	3/8	0	2	1	1/8		1/8	1		1	43		2
1	1	3/8	0	1	1	1/4		1/4	1		1	67		0
1	1	3/8	0	1	1	1/4		1/4	1		5	71		0
1	1	3/8	1/8	2	1	1/8		1/8	1		1	55		3
1	1	3/8	1/4	2	1	1/8		1/8	1		1	55		4
1	1	3/8	1/4	1	1	1/8		1/8	1		3	69		1
1	1	3/8	1/4	1	1	1/8		1/8	1		0	72		1
2	2	3/8	0	2	1	1/8		1/8	1		1	55		7
2	2	3/8	0	1	1	1/8		1/8	1		5	71		5
2	2	3/8	0	1	1	1/8		1/8	1		2	74		5
2	2	3/8	1/8	2	1	1/8		1/8	1		1	55		8
2	2	3/8	1/4	2	1	1/8		1/8	1		1	55		9
2	2	3/8	1/4	1	1	1/8		1/8	1		5	71		6
2	2	3/8	1/4	1	1	1/8		1/8	1		2	74		6
3	3	3/8	0	2	1	1/8		1/8	1		1	55		12
3	3	3/8	0	1	1	1/4		1/4	1		4	76		10
3	3	3/8	0	1	1	1/4		1/4	1		1	79		10
3	3	3/8	1/8	2	1	1/8		1/8	1		1	55		13
3	3	3/8	1/4	2	1	1/8		1/8	1		1	55		14
3	3	3/8	1/4	1	1	1/8		1/8	1		2	74		11
3	3	3/8	1/4	1	1	1/8		1/8	1		6	78		11
4	4	3/8	0	1	1	0	grace16	1/16	1		6	78		15
4	4	3/8	0	2	1	1/8		1/8	1		1	55		18
4	4	3/8	0	1	1	1/4		1/4	1		0	72		16
4	4	3/8	0	1	1	1/4		1/4	1		4	76		16
4	4	3/8	1/8	2	1	1/8		1/8	1		1	55		19
4	4	3/8	1/4	2	1	1/8		1/8	1		1	55		20
4	4	3/8	1/4	1	1	1/8		1/8	1		5	71		17
4	4	3/8	1/4	1	1	1/8		1/8	1		2	74		17
5	5	3/8	0	2	1	1/8		1/8	1		1	43		23
5	5	3/8	0	1	1	1/4		1/4	1		1	67		21
5	5	3/8	0	1	1	1/4		1/4	1		5	71		21
5	5	3/8	1/8	2	1	1/8		1/8	1		1	55		24
5	5	3/8	1/4	2	1	1/8		1/8	1		1	55		25
5	5	3/8	1/4	1	1	1/8		1/8	1		3	69		22
5	5	3/8	1/4	1	1	1/8		1/8	1		0	72		22
6	6	3/8	0	2	1	1/8		1/8	1		1	55		28
6	6	3/8	0	1	1	1/8		1/8	1		5	71		26
6	6	3/8	0	1	1	1/8		1/8	1		2	74		26
6	6	3/8	1/8	2	1	1/8		1/8	1		1	55		29
6	6	3/8	1/4	2	1	1/8		1/8	1		1	55		30
6	6	3/8	1/4	1	1	1/8		1/8	1		5	71		27
6	6	3/8	1/4	1	1	1/8		1/8	1		2	74		27
7	7	3/8	0	2	1	1/8		1/8	1		1	55		33
7	7	3/8	0	1	1	1/4		1/4	1		0	72		31
7	7	3/8	0	1	1	1/4		1/4	1		4	76		31
7	7	3/8	1/8	2	1	1/8		1/8	1		1	55		34
7	7	3/8	1/4	2	1	1/8		1/8	1		1	55		35
7	7	3/8	1/4	1	1	1/8		1/8	1		5	71		32
7	7	3/8	1/4	1	1	1/8		1/8	1		2	74		32
8	8	3/8	0	1	1	0	grace16	1/16	1		2	74		36
8	8	3/8	0	2	1	1/8		1/8	1		1	55		39
8	8	3/8	0	1	1	1/4		1/4	1		3	69		37
8	8	3/8	0	1	1	1/4		1/4	1		0	72		37
8	8	3/8	1/8	2	1	1/8		1/8	1		1	55		40
8	8	3/8	1/4	2	1	1/8		1/8	1		1	55		41
8	8	3/8	1/4	1	1	1/8		1/8	1		1	67		38
8	8	3/8	1/4	1	1	1/8		1/8	1		5	71		38
9	9	3/8	0	2	1	3/8		1/4	3/2		5	35		48
9	9	3/8	0	2	1	3/8		1/4	3/2		5	47		48
9	9	3/8	0	1	1	1/16		1/16	1		2	62		42
9	9	3/8	1/16	1	1	1/16		1/16	1		1	67		43
9	9	3/8	1/8	1	1	1/16		1/16	1		6	66		44
9	9	3/8	3/16	1	1	1/16		1/16	1		1	67		45
9	9	3/8	1/4	1	1	1/16		1/16	1		5	71		46
9	9	3/8	5/16	1	1	1/16		1/16	1		1	67		47
10	10	3/8	0	2	1	3/8		1/4	3/2		0	36		55
10	10	3/8	0	2	1	3/8		1/4	3/2		0	48		55
10	10	3/8	0	1	1	1/16		1/16	1		4	64		49
10	10	3/8	1/16	1	1	1/16		1/16	1		3	69		50
10	10	3/8	1/8	1	1	1/16		1/16	1		8	68		51
10	10	3/8	3/16	1	1	1/16		1/16	1		3	69		52
10	10	3/8	1/4	1	1	1/16		1/16	1		0	72		53
10	10	3/8	5/16	1	1	1/16		1/16	1		3	69		54
11	11	3/8	0	2	1	3/8		1/4	3/2		2	38		62
11	11	3/8	0	2	1	3/8		1/4	3/2		2	50		62
11	11	3/8	0	1	1	1/16		1/16	1		6	66		56
11	11	3/8	1/16	1	1	1/16		1/16	1		5	71		57
11	11	3/8	1/8	1	1	1/16		1/16	1		10	70		58
11	11	3/8	3/16	1	1	1/16		1/16	1		5	71		59
11	11	3/8	1/4	1	1	1/16		1/16	1		2	74		60
11	11	3/8	5/16	1	1	1/16		1/16	1		5	71		61
12	12	3/8	0	2	1	3/8		1/4	3/2		4	40		69
12	12	3/8	0	2	1	3/8		1/4	3/2		4	52		69
12	12	3/8	0	1	1	1/16		1/16	1		1	67		63
12	12	3/8	1/16	1	1	1/16		1/16	1		0	72		64
12	12	3/8	1/8	1	1	1/16		1/16	1		5	71		65
12	12	3/8	3/16	1	1	1/16		1/16	1		0	72		66
12	12	3/8	1/4	1	1	1/16		1/16	1		4	76		67
12	12	3/8	5/16	1	1	1/16		1/16	1		0	72		68
13	13	3/8	0	2	1	1/16		1/16	1		6	54		72
13	13	3/8	0	1	1	1/8		1/8	1		2	74		70
13	13	3/8	1/16	2	1	1/16		1/16	1		2	62		73
13	13	3/8	1/8	2	1	1/16		1/16	1		7	61		74
13	13	3/8	3/16	2	1	1/16		1/16	1		2	62		75
13	13	3/8	1/4	2	1	1/16		1/16	1		6	54		76
13	13	3/8	1/4	1	1	1/8		1/8	1		3	81		71
13	13	3/8	1/4	1	1	1/8		1/8	1		0	84		71
13	13	3/8	5/16	2	1	1/16		1/16	1		2	62		77
14	14	3/8	0	2	1	1/16		1/16	1		1	55		80
14	14	3/8	0	1	1	1/8		1/8	1		1	79		78
14	14	3/8	0	1	1	1/8		1/8	1		5	83		78
14	14	3/8	1/16	2	1	1/16		1/16	1		2	62		81
14	14	3/8	1/8	2	1	1/16		1/16	1		7	61		82
14	14	3/8	3/16	2	1	1/16		1/16	1		2	62		83
14	14	3/8	1/4	2	1	1/16		1/16	1		1	55		84
14	14	3/8	1/4	1	1	1/8		1/8	1		5	71		79
14	14	3/8	1/4	1	1	1/8		1/8	1		2	74		79
14	14	3/8	5/16	2	1	1/16		1/16	1		2	62		85
15	15	3/8	0	2	1	1/16		1/16	1		3	57		88
15	15	3/8	0	1	1	1/8		1/8	1		3	69		86
15	15	3/8	0	1	1	1/8		1/8	1		0	72		86
15	15	3/8	1/16	2	1	1/16		1/16	1		2	62		89
15	15	3/8	1/8	2	1	1/16		1/16	1		7	61		90
15	15	3/8	3/16	2	1	1/16		1/16	1		2	62		91
15	15	3/8	1/4	2	1	1/16		1/16	1		3	57		92
15	15	3/8	1/4	1	1	1/8		1/8	1		0	72		87
15	15	3/8	1/4	1	1	1/8		1/8	1		6	78		87
15	15	3/8	5/16	2	1	1/16		1/16	1		2	62		93
16	16	3/8	0	2	1	1/16		1/16	1		5	59		96
16	16	3/8	0	1	1	1/8		1/8	1		5	71		94
16	16	3/8	0	1	1	1/8		1/8	1		1	79		94
16	16	3/8	1/16	2	1	1/16		1/16	1		2	62		97
16	16	3/8	1/8	2	1	1/16		1/16	1		7	61		98
16	16	3/8	3/16	2	1	1/16		1/16	1		2	62		99
16	16	3/8	1/4	2	1	1/16		1/16	1		5	59		100
16	16	3/8	1/4	1	1	1/8		1/8	1		1	67		95
16	16	3/8	1/4	1	1	1/8		1/8	1		5	71		95
16	16	3/8	5/16	2	1	1/16		1/16	1		2	62		101
17	17	3/8	0	2	1	1/8		1/8	1		0	60		108
17	17	3/8	0	2	1	1/8		1/8	1		4	64		108
17	17	3/8	0	1	1	1/16		1/16	1		3	69		102
17	17	3/8	1/16	1	1	1/16		1/16	1		8	68		103
17	17	3/8	1/8	1	1	1/16		1/16	1		5	71		104
17	17	3/8	3/16	1	1	1/16		1/16	1		3	69		105
17	17	3/8	1/4	1	1	1/16		1/16	1		0	72		106
17	17	3/8	5/16	1	1	1/16		1/16	1		5	71		107
18	18	3/8	0	1	1	1/16		1/16	1		2	74		109
18	18	3/8	1/16	1	1	1/16		1/16	1		0	72		110
18	18	3/8	1/8	1	1	1/4		1/4	1	1	4	76		111
18	18	3/8	1/4	2	1	1/8		1/8	1		0	60		112
18	18	3/8	1/4	2	1	1/8		1/8	1		1	67		112
19	19	3/8	0	2	1	1/8		1/8	1		2	62		115
19	19	3/8	0	2	1	1/8		1/8	1		6	66		115
19	19	3/8	0	1	1	1/8		1/8	1	-1	4	76		113
19	19	3/8	1/8	1	1	1/4		1/4	1	1	0	72		114
19	19	3/8	1/4	2	1	1/8		1/8	1		2	62		116
19	19	3/8	1/4	2	1	1/8		1/8	1		6	66		116
20	20	3/8	0	2	1	1/8		1/8	1		4	64		119
20	20	3/8	0	2	1	1/8		1/8	1		1	67		119
20	20	3/8	0	1	1	1/8		1/8	1	-1	0	72		117
20	20	3/8	1/8	1	1	1/4		1/4	1	1	5	71		118
20	20	3/8	1/4	2	1	1/8		1/8	1		4	64		120
20	20	3/8	1/4	2	1	1/8		1/8	1		1	67		120
21	21	3/8	0	2	1	1/8		1/8	1		0	60		123
21	21	3/8	0	2	1	1/8		1/8	1		4	64		123
21	21	3/8	0	1	1	1/8		1/8	1	-1	5	71		121
21	21	3/8	1/8	1	1	1/4		1/4	1	1	3	69		122
21	21	3/8	1/4	2	1	1/8		1/8	1		0	48		124
21	21	3/8	1/4	2	1	1/8		1/8	1		0	60		124
22	22	3/8	0	2	1	1/8		1/8	1		2	50		127
22	22	3/8	0	2	1	1/8		1/8	1		5	59		127
22	22	3/8	0	1	1	1/8		1/8	1	-1	3	69		125
22	22	3/8	1/8	1	1	1/4		1/4	1	1	1	67		126
22	22	3/8	1/4	2	1	1/8		1/8	1		2	50		128
22	22	3/8	1/4	2	1	1/8		1/8	1		5	59		128
23	23	3/8	0	2	1	1/8		1/8	1		2	50		131
23	23	3/8	0	2	1	1/8		1/8	1		3	57		131
23	23	3/8	0	1	1	1/8		1/8	1	-1	1	67		129
23	23	3/8	1/8	1	1	1/4		1/4	1	1	6	66		130
23	23	3/8	1/4	2	1	1/8		1/8	1		2	50		132
23	23	3/8	1/4	2	1	1/8		1/8	1		3	57		132
24	24	3/8	0	2	1	1/8		1/8	1		1	55		136
24	24	3/8	0	2	1	1/8		1/8	1		5	59		136
24	24	3/8	0	1	1	1/8		1/8	1	-1	6	66		133
24	24	3/8	1/8	1	1	1/8		1/8	1		1	67		134
24	24	3/8	1/4	1	1	1/8		1/8	1		3	69		135
25	25	3/8	0	2	1	1/16		1/16	1		1	43		138
25	25	3/8	0	1	1	3/8		1/4	3/2		2	62		137
25	25	3/8	0	1	1	3/8		1/4	3/2		-1	65		137
25	25	3/8	0	1	1	3/8		1/4	3/2		5	71		137
25	25	3/8	1/16	2	1	1/16		1/16	1		1	55		139
25	25	3/8	1/8	2	1	1/16		1/16	1		6	54		140
25	25	3/8	3/16	2	1	1/16		1/16	1		1	55		141
25	25	3/8	1/4	2	1	1/16		1/16	1		3	57		142
25	25	3/8	5/16	2	1	1/16		1/16	1		1	55		143
26	26	3/8	0	2	1	1/8		1/8	1		1	43		150
26	26	3/8	0	1	1	1/16		1/16	1		4	64		144
26	26	3/8	1/16	1	1	1/16		1/16	1		1	67		145
26	26	3/8	1/8	1	1	1/16		1/16	1		0	72		146
26	26	3/8	3/16	1	1	1/16		1/16	1		1	67		147
26	26	3/8	1/4	1	1	1/16		1/16	1		4	76		148
26	26	3/8	5/16	1	1	1/16		1/16	1		0	72		149
27	27	3/8	0	2	1	1/16		1/16	1		1	43		152
27	27	3/8	0	1	1	3/8		1/4	3/2		3	69		151
27	27	3/8	0	1	1	3/8		1/4	3/2		0	72		151
27	27	3/8	0	1	1	3/8		1/4	3/2		6	78		151
27	27	3/8	1/16	2	1	1/16		1/16	1		1	55		153
27	27	3/8	1/8	2	1	1/16		1/16	1		6	54		154
27	27	3/8	3/16	2	1	1/16		1/16	1		1	55		155
27	27	3/8	1/4	2	1	1/16		1/16	1		3	57		156
27	27	3/8	5/16	2	1	1/16		1/16	1		1	55		157
28	28	3/8	0	2	1	1/8		1/8	1		1	43		164
28	28	3/8	0	1	1	1/16		1/16	1		1	79		158
28	28	3/8	1/16	1	1	1/16		1/16	1		5	83		159
28	28	3/8	1/8	1	1	1/16		1/16	1		1	79		160
28	28	3/8	3/16	1	1	1/16		1/16	1		2	74		161
28	28	3/8	1/4	1	1	1/16		1/16	1		5	71		162
28	28	3/8	5/16	1	1	1/16		1/16	1		1	67		163
29	29	3/8	0	2	1	1/16		1/16	1		1	43		166
29	29	3/8	0	1	1	3/8		1/4	3/2		2	62		165
29	29	3/8	0	1	1	3/8		1/4	3/2		-1	65		165
29	29	3/8	0	1	1	3/8		1/4	3/2		5	71		165
