mc	mn	timesig	onset	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	4/4	0	2	2	1/4		1/4	1		0	60		23
1	1	4/4	0	2	1	1/16		1/16	1		4	64		7
1	1	4/4	0	1	1	1/8		1/8	1		0	72		0
1	1	4/4	1/16	2	1	1/16		1/16	1		1	67		8
1	1	4/4	1/8	2	1	1/16		1/16	1		4	64		9
1	1	4/4	1/8	1	1	1/8		1/8	1		0	72		1
1	1	4/4	3/16	2	1	1/16		1/16	1		1	67		10
1	1	4/4	1/4	2	1	1/16		1/16	1		4	64		11
1	1	4/4	1/4	1	1	1/8		1/8	1		0	72		2
1	1	4/4	5/16	2	1	1/16		1/16	1		1	67		12
1	1	4/4	3/8	2	1	1/16		1/16	1		4	64		13
1	1	4/4	3/8	1	1	1/8		1/8	1		0	72		3
1	1	4/4	7/16	2	1	1/16		1/16	1		1	67		14
1	1	4/4	1/2	2	2	1/4		1/4	1		2	62		24
1	1	4/4	1/2	2	1	1/16		1/16	1		-1	65		15
1	1	4/4	1/2	1	1	1/8		1/8	1		5	71		4
1	1	4/4	9/16	2	1	1/16		1/16	1		1	67		16
1	1	4/4	5/8	2	1	1/16		1/16	1		-1	65		17
1	1	4/4	5/8	1	1	1/8		1/8	1		-1	77		5
1	1	4/4	11/16	2	1	1/16		1/16	1		1	67		18
1	1	4/4	3/4	2	2	1/8		1/8	1		5	59		25
1	1	4/4	3/4	2	1	1/16		1/16	1		2	62		19
1	1	4/4	3/4	1	1	1/4		1/4	1		-1	77		6
1	1	4/4	13/16	2	1	1/16		1/16	1		1	67		20
1	1	4/4	7/8	2	2	1/8		1/8	1		1	55		26
1	1	4/4	7/8	2	1	1/16		1/16	1		5	59		21
1	1	4/4	15/16	2	1	1/16		1/16	1		1	67		22
2	2	4/4	0	2	2	1/16		1/16	1		0	60		52
2	2	4/4	0	1	1	1/4		1/4	1		4	76		27
2	2	4/4	1/16	2	2	1/16		1/16	1		1	67		53
2	2	4/4	1/8	2	2	1/16		1/16	1		5	59		54
2	2	4/4	3/16	2	2	1/16		1/16	1		1	67		55
2	2	4/4	1/4	1	1	0	grace16	1/16	1		1	79		28
2	2	4/4	1/4	2	1	1/16		1/16	1		3	57		40
2	2	4/4	1/4	1	1	1/8		1/8	1		-1	77		29
2	2	4/4	5/16	2	1	1/16		1/16	1		0	60		41
2	2	4/4	3/8	2	1	1/16		1/16	1		-1	53		42
2	2	4/4	3/8	1	1	1/16		1/16	1		4	76		30
2	2	4/4	7/16	2	1	1/16		1/16	1		-1	65		43
2	2	4/4	7/16	1	1	1/16		1/16	1		2	74		31
2	2	4/4	1/2	2	2	3/8		1/4	3/2		1	55		56
2	2	4/4	1/2	2	1	1/16		1/16	1		4	64		44
2	2	4/4	1/2	1	1	1/16		1/16	1		0	72		32
2	2	4/4	9/16	2	1	1/16		1/16	1		2	62		45
2	2	4/4	9/16	1	1	1/16		1/16	1		5	71		33
2	2	4/4	5/8	2	1	1/16		1/16	1		0	60		46
2	2	4/4	5/8	1	1	1/16		1/16	1		3	69		34
2	2	4/4	11/16	2	1	1/16		1/16	1		5	59		47
2	2	4/4	11/16	1	1	1/16		1/16	1		1	67		35
2	2	4/4	3/4	2	1	1/16		1/16	1		0	60		48
2	2	4/4	3/4	1	1	1/16		1/16	1		3	69		36
2	2	4/4	13/16	2	1	1/16		1/16	1		5	59		49
2	2	4/4	13/16	1	1	1/16		1/16	1		1	67		37
2	2	4/4	7/8	2	2	1/8		1/8	1		-1	53		57
2	2	4/4	7/8	2	1	1/16		1/16	1		0	60		50
2	2	4/4	7/8	1	1	1/16		1/16	1		3	69		38
2	2	4/4	15/16	2	1	1/16		1/16	1		2	62		51
2	2	4/4	15/16	1	1	1/16		1/16	1		5	71		39
3	3	4/4	0	2	2	1/4		1/4	1		4	52		81
3	3	4/4	0	2	1	1/16		1/16	1		1	55		65
3	3	4/4	0	1	1	1/8		1/8	1		0	72		58
3	3	4/4	1/16	2	1	1/16		1/16	1		0	60		66
3	3	4/4	1/8	2	1	1/16		1/16	1		1	55		67
3	3	4/4	1/8	1	1	1/8		1/8	1		0	72		59
3	3	4/4	3/16	2	1	1/16		1/16	1		0	60		68
3	3	4/4	1/4	2	2	1/8		1/8	1		2	50		82
3	3	4/4	1/4	2	1	1/16		1/16	1		-1	53		69
3	3	4/4	1/4	1	1	1/8		1/8	1		0	72		60
3	3	4/4	5/16	2	1	1/16		1/16	1		0	60		70
3	3	4/4	3/8	2	2	1/8		1/8	1		0	48		83
3	3	4/4	3/8	2	1	1/16		1/16	1		4	52		71
3	3	4/4	3/8	1	1	1/8		1/8	1		0	72		61
3	3	4/4	7/16	2	1	1/16		1/16	1		0	60		72
3	3	4/4	1/2	2	2	1/4		1/4	1		2	50		84
3	3	4/4	1/2	2	1	1/16		1/16	1		-1	53		73
3	3	4/4	1/2	1	1	1/8		1/8	1		5	71		62
3	3	4/4	9/16	2	1	1/16		1/16	1		1	55		74
3	3	4/4	5/8	2	1	1/16		1/16	1		-1	53		75
3	3	4/4	5/8	1	1	1/8		1/8	1		-1	77		63
3	3	4/4	11/16	2	1	1/16		1/16	1		1	55		76
3	3	4/4	3/4	2	2	1/8		1/8	1		5	47		85
3	3	4/4	3/4	2	1	1/16		1/16	1		2	50		77
3	3	4/4	3/4	1	1	1/4		1/4	1		-1	77		64
3	3	4/4	13/16	2	1	1/16		1/16	1		1	55		78
3	3	4/4	7/8	2	2	1/8		1/8	1		1	43		86
3	3	4/4	7/8	2	1	1/16		1/16	1		5	47		79
3	3	4/4	15/16	2	1	1/16		1/16	1		1	55		80
4	4	4/4	0	1	1	0	grace16	1/16	1		-1	77		87
4	4	4/4	0	2	2	1/16		1/16	1		0	48		99
4	4	4/4	0	1	1	1/8		1/8	1		4	76		88
4	4	4/4	1/16	2	2	1/16		1/16	1		1	55		100
4	4	4/4	1/8	2	2	1/8		1/8	1		-1	53		101
4	4	4/4	1/8	2	1	1/16		1/16	1		3	57		95
4	4	4/4	1/8	1	1	1/16		1/16	1		-1	77		89
4	4	4/4	3/16	2	1	1/16		1/16	1		-1	65		96
4	4	4/4	3/16	1	1	1/16		1/16	1		2	74		90
4	4	4/4	1/4	2	2	1/8		1/8	1		1	55		102
