mc	mn	timesig	onset	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	2/4	0	1	1	3/16		1/8	3/2		4	76		0
1	1	2/4	1/8	2	1	1/8		1/8	1		0	48		5
1	1	2/4	3/16	1	1	1/32		1/32	1		-1	77		1
1	1	2/4	7/32	1	1	1/32		1/32	1		1	79		2
1	1	2/4	1/4	2	1	1/8		1/8	1		4	52		6
1	1	2/4	1/4	1	1	1/8		1/8	1		0	72		3
1	1	2/4	3/8	2	1	1/8		1/8	1		1	55		7
1	1	2/4	3/8	1	1	1/8		1/8	1		5	71		4
1	1	2/4	3/8	1	1	1/8		1/8	1		2	74		4
2	2	2/4	0	2	1	1/8		1/8	1		0	60		12
2	2	2/4	0	1	1	1/8		1/8	1		5	71		8
2	2	2/4	0	1	1	1/8		1/8	1		2	74		8
2	2	2/4	1/8	1	1	0	grace16	1/16	1		-1	77		9
2	2	2/4	1/8	2	1	1/8		1/8	1		0	48		13
2	2	2/4	1/8	1	1	1/8		1/8	1		0	72		10
2	2	2/4	1/8	1	1	1/8		1/8	1		4	76		10
2	2	2/4	1/4	2	1	1/8		1/8	1		1	55		14
2	2	2/4	1/4	1	1	1/4		1/4	1		5	71		11
2	2	2/4	1/4	1	1	1/4		1/4	1		2	74		11
2	2	2/4	3/8	2	1	1/8		1/8	1		1	43		15
3	3	2/4	0	1	1	3/16		1/8	3/2		4	76		16
3	3	2/4	1/8	2	1	1/8		1/8	1		0	48		21
3	3	2/4	3/16	1	1	1/32		1/32	1		-1	77		17
3	3	2/4	7/32	1	1	1/32		1/32	1		1	79		18
3	3	2/4	1/4	2	1	1/8		1/8	1		4	52		22
3	3	2/4	1/4	1	1	1/8		1/8	1		0	72		19
3	3	2/4	3/8	2	1	1/8		1/8	1		1	55		23
3	3	2/4	3/8	1	1	1/8		1/8	1		5	71		20
3	3	2/4	3/8	1	1	1/8		1/8	1		2	74		20
4	4	2/4	0	2	1	1/8		1/8	1		0	60		27
4	4	2/4	0	1	1	1/8		1/8	1		2	74		24
4	4	2/4	0	1	1	1/8		1/8	1		-1	77		24
4	4	2/4	1/8	2	1	1/8		1/8	1		0	48		28
4	4	2/4	1/8	1	1	1/8		1/8	1		0	72		25
4	4	2/4	1/8	1	1	1/8		1/8	1		4	76		25
4	4	2/4	1/4	2	1	1/8		1/8	1		1	55		29
4	4	2/4	1/4	1	1	1/4		1/4	1		5	71		26
4	4	2/4	1/4	1	1	1/4		1/4	1		2	74		26
4	4	2/4	3/8	2	1	1/8		1/8	1		1	43		30
5	5	2/4	0	2	1	1/8		1/8	1		3	57		36
5	5	2/4	0	1	1	3/16		1/8	3/2		-1	77		31
5	5	2/4	1/8	2	1	1/8		1/8	1		0	60		37
5	5	2/4	3/16	1	1	1/32		1/32	1		1	79		32
5	5	2/4	7/32	1	1	1/32		1/32	1		-1	77		33
5	5	2/4	1/4	2	1	1/8		1/8	1		1	55		38
5	5	2/4	1/4	1	1	1/8		1/8	1		4	76		34
5	5	2/4	3/8	2	1	1/8		1/8	1		0	60		39
5	5	2/4	3/8	1	1	1/8		1/8	1		4	76		35
6	6	2/4	0	2	1	1/8		1/8	1		-1	53		45
6	6	2/4	0	1	1	3/16		1/8	3/2		3	81		40
6	6	2/4	1/8	2	1	1/8		1/8	1		0	60		46
6	6	2/4	3/16	1	1	1/32		1/32	1		5	83		41
6	6	2/4	7/32	1	1	1/32		1/32	1		0	84		42
6	6	2/4	1/4	2	1	1/8		1/8	1		4	52		47
6	6	2/4	1/4	1	1	1/8		1/8	1		1	79		43
6	6	2/4	3/8	2	1	1/8		1/8	1		0	60		48
6	6	2/4	3/8	1	1	1/8		1/8	1		1	79		44
7	7	2/4	0	1	1	1/16		1/16	1		1	79		49
7	7	2/4	1/16	1	1	1/16		1/16	1		-1	77		50
7	7	2/4	1/8	2	1	1/8		1/8	1		5	59		57
7	7	2/4	1/8	2	1	1/8		1/8	1		1	67		57
7	7	2/4	1/8	1	1	1/16		1/16	1		-1	77		51
7	7	2/4	3/16	1	1	1/16		1/16	1		2	74		52
7	7	2/4	1/4	1	1	1/16		1/16	1		-1	77		53
7	7	2/4	5/16	1	1	1/16		1/16	1		4	76		54
7	7	2/4	3/8	2	1	1/8		1/8	1		0	60		58
7	7	2/4	3/8	2	1	1/8		1/8	1		1	67		58
7	7	2/4	3/8	1	1	1/16		1/16	1		4	76		55
7	7	2/4	7/16	1	1	1/16		1/16	1		0	72		56
8	8	2/4	0	2	1	1/4		1/4	1		1	55		67
8	8	2/4	0	2	1	1/4		1/4	1		5	59		67
8	8	2/4	0	1	1	1/16		1/16	1		7	73		59
8	8	2/4	1/16	1	1	1/16		1/16	1		2	74		60
8	8	2/4	1/8	1	1	1/16		1/16	1		4	76		61
8	8	2/4	3/16	1	1	1/16		1/16	1		2	74		62
8	8	2/4	1/4	1	1	1/16		1/16	1		0	72		63
8	8	2/4	5/16	1	1	1/16		1/16	1		5	71		64
8	8	2/4	3/8	1	1	1/16		1/16	1		3	69		65
8	8	2/4	7/16	1	1	1/16		1/16	1		1	67		66
9	9	2/4	0	2	1	1/16		1/16	1		0	36		73
9	9	2/4	0	1	1	3/16		1/8	3/2		4	76		68
9	9	2/4	1/16	2	1	1/16		1/16	1		4	40		74
9	9	2/4	1/8	2	1	1/16		1/16	1		1	43		75
9	9	2/4	3/16	2	1	1/16		1/16	1		0	48		76
9	9	2/4	3/16	1	1	1/32		1/32	1		-1	77		69
9	9	2/4	7/32	1	1	1/32		1/32	1		1	79		70
9	9	2/4	1/4	2	1	1/16		1/16	1		4	40		77
9	9	2/4	1/4	1	1	1/8		1/8	1		0	72		71
9	9	2/4	5/16	2	1	1/16		1/16	1		4	52		78
9	9	2/4	3/8	2	1	1/16		1/16	1		1	43		79
9	9	2/4	3/8	1	1	1/8		1/8	1		5	71		72
9	9	2/4	3/8	1	1	1/8		1/8	1		2	74		72
9	9	2/4	7/16	2	1	1/16		1/16	1		1	55		80
10	10	2/4	0	2	1	1/16		1/16	1		0	48		85
10	10	2/4	0	1	1	1/8		1/8	1		5	71		81
10	10	2/4	0	1	1	1/8		1/8	1		2	74		81
10	10	2/4	1/16	2	1	1/16		1/16	1		4	52		86
10	10	2/4	1/8	1	1	0	grace16	1/16	1		-1	77		82
10	10	2/4	1/8	2	1	1/16		1/16	1		1	55		87
10	10	2/4	1/8	1	1	1/8		1/8	1		0	72		83
10	10	2/4	1/8	1	1	1/8		1/8	1		4	76		83
10	10	2/4	3/16	2	1	1/16		1/16	1		0	60		88
10	10	2/4	1/4	2	1	1/16		1/16	1		1	43		89
10	10	2/4	1/4	1	1	1/4		1/4	1		5	71		84
10	10	2/4	1/4	1	1	1/4		1/4	1		2	74		84
10	10	2/4	5/16	2	1	1/16		1/16	1		5	47		90
10	10	2/4	3/8	2	1	1/16		1/16	1		2	50		91
10	10	2/4	7/16	2	1	1/16		1/16	1		1	55		92
11	11	2/4	0	2	1	1/16		1/16	1		0	36		98
11	11	2/4	0	1	1	3/16		1/8	3/2		4	76		93
11	11	2/4	1/16	2	1	1/16		1/16	1		4	40		99
11	11	2/4	1/8	2	1	1/16		1/16	1		1	43		100
11	11	2/4	3/16	2	1	1/16		1/16	1		0	48		101
11	11	2/4	3/16	1	1	1/32		1/32	1		-1	77		94
11	11	2/4	7/32	1	1	1/32		1/32	1		1	79		95
11	11	2/4	1/4	2	1	1/16		1/16	1		4	40		102
11	11	2/4	1/4	1	1	1/8		1/8	1		0	72		96
11	11	2/4	5/16	2	1	1/16		1/16	1		4	52		103
11	11	2/4	3/8	2	1	1/16		1/16	1		1	43		104
11	11	2/4	3/8	1	1	1/8		1/8	1		5	71		97
