mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.0		0	0	3/4	1	1	0	grace32	1/32	1		7	61	C#4	4	0
1	1	0	0	0.0		0	0	3/4	1	1	0	grace32	1/32	1		4	64	E4	4	1
1	1	0	0	2.0		0	0	3/4	2	1	1/2		1/2	1		3	45	A2	2	4
1	1	0	0	2.0		0	0	3/4	2	1	1/2		1/2	1		3	57	A3	3	4
1	1	0	0	2.0		0	0	3/4	1	1	1/2		1/2	1		3	69	A4	4	2
1	1	2	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	40	E2	2	5
1	1	2	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	5
1	1	2	2	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		4	64	E4	4	3
2	2	3	3	1.0		0	0	3/4	2	1	1/4		1/4	1		7	49	C#3	3	10
2	2	3	3	1.0		0	0	3/4	2	1	1/4		1/4	1		7	61	C#4	4	10
2	2	3	3	0.5		0	0	3/4	1	1	1/8		1/8	1		7	73	C#5	5	6
2	2	7/2	7/2	0.25		1/8	1/8	3/4	1	1	1/16		1/16	1		2	74	D5	5	7
2	2	15/4	15/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	8
2	2	4	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	45	A2	2	11
2	2	4	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	11
2	2	4	4	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	9
3	3	6	6	0.5		0	0	3/4	1	1	1/8		1/8	1		4	76	E5	5	12
3	3	13/2	13/2	0.25		1/8	1/8	3/4	1	1	1/16		1/16	1		6	78	F#5	5	13
3	3	27/4	27/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	14
3	3	7	7	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		7	73	C#5	5	15
3	3	8	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	17
3	3	8	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		6	66	F#4	4	17
3	3	8	8	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		7	85	C#6	6	16
4	4	9	9	1.0		0	0	3/4	2	1	1/4		1/4	1		5	59	B3	3	21
4	4	9	9	1.0		0	0	3/4	2	1	1/4		1/4	1		3	69	A4	4	21
4	4	9	9	1.0		0	0	3/4	1	1	1/4		1/4	1		9	75	D#5	5	18
4	4	10	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	64	E4	4	22
4	4	10	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		8	68	G#4	4	22
4	4	10	10	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		4	76	E5	5	19
4	4	23/2	23/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		11	77	E#5	5	20
5	5	12	12	0.5		0	0	3/4	1	1	1/8		1/8	1		8	80	G#5	5	23
5	5	25/2	25/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		6	78	F#5	5	24
5	5	13	13	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		4	76	E5	5	25
5	5	27/2	27/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	26
5	5	14	14	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		7	73	C#5	5	27
5	5	29/2	29/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	28
6	6	15	15	0.5		0	0	3/4	2	1	1/8		1/8	1		4	52	E3	3	33
6	6	15	15	0.5		0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	29
6	6	31/2	31/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	34
6	6	31/2	31/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		8	68	G#4	4	30
6	6	16	16	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		5	59	B3	3	35
6	6	16	16	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		4	76	E5	5	31
6	6	33/2	33/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	36
6	6	33/2	33/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	32
6	6	17	17	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		5	59	B3	3	37
6	6	35/2	35/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	38
7	7	18	18	0.5		0	0	3/4	2	1	1/8		1/8	1		4	52	E3	3	43
7	7	18	18	0.5		0	0	3/4	1	1	1/8		1/8	1		5	71	B4	4	39
7	7	37/2	37/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	44
7	7	37/2	37/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	40
7	7	19	19	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		3	57	A3	3	45
7	7	19	19	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		6	78	F#5	5	41
7	7	39/2	39/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	46
7	7	39/2	39/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	42
7	7	20	20	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		3	57	A3	3	47
7	7	41/2	41/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	48
8	8	21	21	0.5		0	0	3/4	2	1	1/8		1/8	1		2	50	D3	3	53
8	8	21	21	0.5		0	0	3/4	1	1	1/8		1/8	1		7	73	C#5	5	49
8	8	43/2	43/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	54
8	8	43/2	43/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	50
8	8	22	22	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		6	54	F#3	3	55
8	8	22	22	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		1	79	G5	5	51
8	8	45/2	45/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	56
8	8	45/2	45/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		6	78	F#5	5	52
8	8	23	23	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		6	54	F#3	3	57
8	8	47/2	47/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	58
9	9	24	24	1.0		0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	64
9	9	24	24	1.0		0	0	3/4	1	1	1/4		1/4	1		6	66	F#4	4	59
9	9	25	25	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		4	76	E5	5	60
9	9	51/2	51/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	61
9	9	26	26	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		7	73	C#5	5	62
9	9	53/2	53/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	63
10	10	27	27	1.0		0	0	3/4	2	1	1/4		1/4	1		4	52	E3	3	68
10	10	27	27	1.0		0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	68
10	10	27	27	0.5		0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	65
10	10	55/2	55/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		8	68	G#4	4	66
10	10	28	28	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	69
10	10	28	28	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		7	61	C#4	4	69
10	10	28	28	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	67
11	11	30	30	0.0		0	0	3/4	1	1	0	grace32	1/32	1		5	71	B4	4	70
11	11	30	30	0.0		0	0	3/4	1	1	0	grace32	1/32	1		4	76	E5	5	71
11	11	30	30	0.0		0	0	3/4	1	1	0	grace32	1/32	1		8	80	G#5	5	72
11	11	30	30	0.5		0	0	3/4	2	1	1/8		1/8	1		4	52	E3	3	74
11	11	30	30	3.0		0	0	3/4	1	1	3/4		1/2	3/2		5	83	B5	5	73
11	11	61/2	61/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		8	56	G#3	3	75
11	11	31	31	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		5	59	B3	3	76
11	11	63/2	63/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		8	56	G#3	3	77
11	11	32	32	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		6	54	F#3	3	78
11	11	65/2	65/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		4	52	E3	3	79
12	12	33	33	0.5		0	0	3/4	2	1	1/8		1/8	1		9	51	D#3	3	92
12	12	33	33	0.25		0	0	3/4	1	1	1/16		1/16	1		5	83	B5	5	80
12	12	133/4	133/4	0.25		1/16	1/16	3/4	1	1	1/16		1/16	1		3	81	A5	5	81
