mc	mn	timesig	onset	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	2/2	0	1	1	1/4		1/4	1		3	69		0
1	0	2/2	1/4	1	1	1/4		1/4	1		3	69		1
2	1	2/2	0	2	1	1/8		1/8	1		2	62		7
2	1	2/2	0	1	1	1/2		1/2	1		2	74		2
2	1	2/2	1/8	2	1	1/8		1/8	1		3	69		8
2	1	2/2	1/4	2	1	1/8		1/8	1		6	66		9
2	1	2/2	3/8	2	1	1/8		1/8	1		3	69		10
2	1	2/2	1/2	2	1	1/8		1/8	1		5	59		11
2	1	2/2	1/2	1	1	1/8		1/8	1		7	73		3
2	1	2/2	5/8	2	1	1/8		1/8	1		6	66		12
2	1	2/2	5/8	1	1	1/8		1/8	1		2	74		4
2	1	2/2	3/4	2	1	1/8		1/8	1		2	62		13
2	1	2/2	3/4	1	1	1/8		1/8	1		4	76		5
2	1	2/2	7/8	2	1	1/8		1/8	1		6	66		14
2	1	2/2	7/8	1	1	1/8		1/8	1		6	78		6
3	2	2/2	0	2	1	1/8		1/8	1		1	55		23
3	2	2/2	0	1	1	1/8		1/8	1		1	79		15
3	2	2/2	1/8	2	1	1/8		1/8	1		4	64		24
3	2	2/2	1/8	1	1	1/8		1/8	1		4	76		16
3	2	2/2	1/4	2	1	1/8		1/8	1		5	59		25
3	2	2/2	1/4	1	1	1/8		1/8	1		1	79		17
3	2	2/2	3/8	2	1	1/8		1/8	1		4	64		26
3	2	2/2	3/8	1	1	1/8		1/8	1		4	76		18
3	2	2/2	1/2	2	1	1/8		1/8	1		3	57		27
3	2	2/2	1/2	1	1	1/8		1/8	1		2	74		19
3	2	2/2	5/8	2	1	1/8		1/8	1		1	67		28
3	2	2/2	5/8	1	1	1/8		1/8	1		7	73		20
3	2	2/2	3/4	2	1	1/8		1/8	1		4	64		29
3	2	2/2	3/4	1	1	1/8		1/8	1		5	71		21
3	2	2/2	7/8	2	1	1/8		1/8	1		1	67		30
3	2	2/2	7/8	1	1	1/8		1/8	1		3	69		22
4	3	2/2	0	2	1	1/8		1/8	1		2	62		39
4	3	2/2	0	1	1	1/8		1/8	1		3	81		31
4	3	2/2	1/8	2	1	1/8		1/8	1		3	69		40
4	3	2/2	1/8	1	1	1/8		1/8	1		6	78		32
4	3	2/2	1/4	2	1	1/8		1/8	1		6	66		41
4	3	2/2	1/4	1	1	1/8		1/8	1		3	81		33
4	3	2/2	3/8	2	1	1/8		1/8	1		3	69		42
4	3	2/2	3/8	1	1	1/8		1/8	1		6	78		34
4	3	2/2	1/2	2	1	1/8		1/8	1		1	55		43
4	3	2/2	1/2	1	1	1/8		1/8	1		5	83		35
4	3	2/2	5/8	2	1	1/8		1/8	1		4	64		44
4	3	2/2	5/8	1	1	1/8		1/8	1		1	79		36
4	3	2/2	3/4	2	1	1/8		1/8	1		5	59		45
4	3	2/2	3/4	1	1	1/8		1/8	1		5	83		37
4	3	2/2	7/8	2	1	1/8		1/8	1		4	64		46
4	3	2/2	7/8	1	1	1/8		1/8	1		1	79		38
5	4	2/2	0	2	2	1/2		1/2	1		3	57		53
5	4	2/2	0	2	1	1/4		1/4	1		2	62		51
5	4	2/2	0	1	1	1/4		1/4	1		6	78		47
5	4	2/2	1/4	2	1	1/4		1/4	1		7	61		52
5	4	2/2	1/4	1	1	1/4		1/4	1		4	76		48
5	4	2/2	1/2	1	1	1/4		1/4	1		3	69		49
5	4	2/2	3/4	1	1	1/4		1/4	1		3	69		50
6	5	2/2	0	2	1	1/8		1/8	1		6	54		59
6	5	2/2	0	1	1	1/2		1/2	1		2	74		54
6	5	2/2	1/8	2	1	1/8		1/8	1		2	62		60
6	5	2/2	1/4	2	1	1/8		1/8	1		3	57		61
6	5	2/2	3/8	2	1	1/8		1/8	1		2	62		62
6	5	2/2	1/2	2	1	1/8		1/8	1		2	50		63
6	5	2/2	1/2	1	1	1/8		1/8	1		6	78		55
6	5	2/2	5/8	2	1	1/8		1/8	1		5	59		64
6	5	2/2	5/8	1	1	1/8		1/8	1		4	76		56
6	5	2/2	3/4	2	1	1/8		1/8	1		6	54		65
6	5	2/2	3/4	1	1	1/8		1/8	1		2	74		57
6	5	2/2	7/8	2	1	1/8		1/8	1		5	59		66
6	5	2/2	7/8	1	1	1/8		1/8	1		7	73		58
7	6	2/2	0	2	1	1/8		1/8	1		4	52		75
7	6	2/2	0	1	1	1/8		1/8	1		5	71		67
7	6	2/2	1/8	2	1	1/8		1/8	1		5	59		76
7	6	2/2	1/8	1	1	1/8		1/8	1		2	74		68
7	6	2/2	1/4	2	1	1/8		1/8	1		8	56		77
7	6	2/2	1/4	1	1	1/8		1/8	1		5	71		69
7	6	2/2	3/8	2	1	1/8		1/8	1		5	59		78
7	6	2/2	3/8	1	1	1/8		1/8	1		2	74		70
7	6	2/2	1/2	2	1	1/8		1/8	1		8	56		79
7	6	2/2	1/2	1	1	1/8		1/8	1		5	83		71
7	6	2/2	5/8	2	1	1/8		1/8	1		2	62		80
7	6	2/2	5/8	1	1	1/8		1/8	1		3	81		72
7	6	2/2	3/4	2	1	1/8		1/8	1		5	59		81
7	6	2/2	3/4	1	1	1/8		1/8	1		8	80		73
7	6	2/2	7/8	2	1	1/8		1/8	1		2	62		82
7	6	2/2	7/8	1	1	1/8		1/8	1		6	78		74
8	7	2/2	0	2	1	1/4		1/4	1		3	57		91
8	7	2/2	0	2	1	1/4		1/4	1		7	61		91
8	7	2/2	0	1	1	1/8		1/8	1		4	76		83
8	7	2/2	1/8	1	1	1/8		1/8	1		3	81		84
8	7	2/2	1/4	2	1	1/4		1/4	1		2	50		92
8	7	2/2	1/4	2	1	1/4		1/4	1		5	59		92
8	7	2/2	1/4	1	1	1/8		1/8	1		6	78		85
8	7	2/2	3/8	1	1	1/8		1/8	1		2	74		86
8	7	2/2	1/2	2	1	1/4		1/4	1		4	52		93
8	7	2/2	1/2	2	1	1/4		1/4	1		3	57		93
8	7	2/2	1/2	1	1	1/8		1/8	1		7	73		87
8	7	2/2	5/8	1	1	1/8		1/8	1		4	76		88
8	7	2/2	3/4	2	1	1/4		1/4	1		4	52		94
