mc	mn	timesig	onset	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	3/4	0	2	1	1/2		1/2	1		-2	58		2
1	1	3/4	0	1	1	1/2		1/2	1		-2	70		0
1	1	3/4	1/2	2	1	1/4		1/4	1		-1	53		3
1	1	3/4	1/2	1	1	1/4		1/4	1		-1	65		1
2	2	3/4	0	2	1	1/2		1/2	1		2	50		6
2	2	3/4	0	1	1	1/2		1/2	1		2	62		4
2	2	3/4	1/2	2	1	1/4		1/4	1		-1	53		7
2	2	3/4	1/2	1	1	1/4		1/4	1		-1	65		5
3	3	3/4	0	2	1	1/2		1/2	1		-2	58		10
3	3	3/4	0	1	1	1/2		1/2	1		-2	70		8
3	3	3/4	1/2	2	1	1/4		1/4	1		2	62		11
3	3	3/4	1/2	1	1	1/4		1/4	1		2	74		9
4	4	3/4	0	2	1	1/2		1/2	1		-1	65		15
4	4	3/4	0	1	1	1/2		1/2	1		-1	77		12
4	4	3/4	1/2	1	1	1/8		1/8	1		-2	82		13
4	4	3/4	5/8	1	1	1/8		1/8	1		2	74		14
5	5	3/4	0	2	1	3/4		1/2	3/2	1	-1	53		22
5	5	3/4	0	2	1	3/4		1/2	3/2	1	0	60		22
5	5	3/4	0	2	1	3/4		1/2	3/2	1	-3	63		22
5	5	3/4	0	1	1	1/8		1/8	1		-1	77		16
5	5	3/4	1/8	1	1	1/8		1/8	1		-3	75		17
5	5	3/4	1/4	1	1	1/8		1/8	1		2	74		18
5	5	3/4	3/8	1	1	1/8		1/8	1		0	72		19
5	5	3/4	1/2	1	1	1/8		1/8	1		-2	70		20
5	5	3/4	5/8	1	1	1/8		1/8	1		3	69		21
6	6	3/4	0	2	1	3/4		1/2	3/2	-1	-1	53		29
6	6	3/4	0	2	1	3/4		1/2	3/2	-1	0	60		29
6	6	3/4	0	2	1	3/4		1/2	3/2	-1	-3	63		29
6	6	3/4	0	1	1	1/8		1/8	1		1	67		23
6	6	3/4	1/8	1	1	1/8		1/8	1		-1	65		24
6	6	3/4	1/4	1	1	1/8		1/8	1		4	64		25
6	6	3/4	3/8	1	1	1/8		1/8	1		-1	65		26
6	6	3/4	1/2	1	1	1/8		1/8	1		1	67		27
6	6	3/4	5/8	1	1	1/8		1/8	1		3	69		28
7	7	3/4	0	2	1	1/4		1/4	1		-2	58		38
7	7	3/4	0	2	1	1/4		1/4	1		2	62		38
7	7	3/4	0	1	1	1/8		1/8	1		-2	70		30
7	7	3/4	1/8	1	1	0	grace16	1/16	1		0	72		31
7	7	3/4	1/8	1	1	1/16		1/16	1		-2	70		32
7	7	3/4	3/16	1	1	1/16		1/16	1		3	69		33
7	7	3/4	1/4	1	1	1/8		1/8	1		-2	70		34
7	7	3/4	3/8	1	1	1/8		1/8	1		0	72		35
7	7	3/4	1/2	1	1	1/8		1/8	1		2	74		36
7	7	3/4	5/8	1	1	1/8		1/8	1		-3	75		37
8	8	3/4	0	1	1	1/8		1/8	1		4	76		39
8	8	3/4	1/8	1	1	1/8		1/8	1		-1	77		40
8	8	3/4	1/4	1	1	1/8		1/8	1		1	79		41
8	8	3/4	3/8	1	1	1/8		1/8	1		-1	77		42
8	8	3/4	1/2	1	1	1/8		1/8	1		-2	82		43
8	8	3/4	5/8	1	1	1/8		1/8	1		2	74		44
9	9	3/4	0	2	1	3/4		1/2	3/2	1	-1	53		51
9	9	3/4	0	2	1	3/4		1/2	3/2	1	0	60		51
9	9	3/4	0	2	1	3/4		1/2	3/2	1	-3	63		51
9	9	3/4	0	1	1	1/8		1/8	1		-1	77		45
9	9	3/4	1/8	1	1	1/8		1/8	1		-3	75		46
